"filename", "language", "Dart", "comment", "blank", "total"
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/helpers/admin_search_product.dart", "Dart", 44, 0, 8, 52
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/helpers/admin_search_store.dart", "Dart", 48, 0, 8, 56
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/helpers/search_notification.dart", "Dart", 45, 0, 8, 53
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/helpers/search_product.dart", "Dart", 43, 0, 8, 51
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/helpers/search_promotion.dart", "Dart", 46, 0, 8, 54
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/helpers/search_store.dart", "Dart", 54, 0, 9, 63
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/helpers/search_users.dart", "Dart", 48, 0, 8, 56
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/main.dart", "Dart", 120, 2, 5, 127
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/models/cart_item.dart", "Dart", 45, 0, 9, 54
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/models/category.dart", "Dart", 22, 0, 5, 27
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/models/custom_user.dart", "Dart", 70, 0, 9, 79
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/models/delivery_detail.dart", "Dart", 34, 0, 6, 40
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/models/feedback.dart", "Dart", 28, 0, 5, 33
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/models/membership.dart", "Dart", 30, 0, 3, 33
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/models/notification.dart", "Dart", 61, 1, 9, 71
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/models/order.dart", "Dart", 67, 1, 8, 76
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/models/product.dart", "Dart", 44, 0, 8, 52
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/models/promotion.dart", "Dart", 62, 1, 7, 70
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/models/store.dart", "Dart", 36, 0, 5, 41
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/providers/admin_orders.dart", "Dart", 32, 0, 9, 41
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/providers/cart.dart", "Dart", 71, 4, 17, 92
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/providers/categories.dart", "Dart", 78, 2, 14, 94
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/providers/feedbacks.dart", "Dart", 19, 0, 5, 24
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/providers/notifications.dart", "Dart", 49, 3, 11, 63
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/providers/products.dart", "Dart", 74, 2, 14, 90
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/providers/promotions.dart", "Dart", 42, 0, 10, 52
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/providers/stores.dart", "Dart", 57, 1, 12, 70
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/providers/user_orders.dart", "Dart", 27, 0, 8, 35
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/providers/user_provider.dart", "Dart", 68, 0, 15, 83
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/providers/users.dart", "Dart", 36, 7, 10, 53
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/screens/admin/admin_categories_screen.dart", "Dart", 176, 0, 5, 181
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/screens/admin/admin_dashboard.dart", "Dart", 416, 2, 6, 424
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/screens/admin/admin_feedbacks_screen.dart", "Dart", 7, 0, 2, 9
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/screens/admin/admin_notifications_screen.dart", "Dart", 48, 0, 3, 51
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/screens/admin/admin_order_detail.dart", "Dart", 321, 0, 6, 327
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/screens/admin/admin_orders_screen.dart", "Dart", 227, 1, 8, 236
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/screens/admin/admin_products_screen.dart", "Dart", 46, 0, 3, 49
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/screens/admin/admin_promotions_screen.dart", "Dart", 192, 0, 5, 197
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/screens/admin/admin_stores_screen.dart", "Dart", 197, 0, 5, 202
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/screens/admin/admin_tab_screen.dart", "Dart", 60, 0, 6, 66
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/screens/admin/admin_user_info.dart", "Dart", 156, 0, 3, 159
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/screens/admin/admin_users_screen.dart", "Dart", 53, 2, 5, 60
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/screens/admin/category_edit_screen.dart", "Dart", 210, 2, 16, 228
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/screens/admin/edit_option.dart", "Dart", 5, 0, 1, 6
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/screens/admin/notification_edit_screen.dart", "Dart", 333, 2, 23, 358
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/screens/admin/product_edit_screen.dart", "Dart", 299, 2, 18, 319
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/screens/admin/promotion_edit_screen.dart", "Dart", 453, 4, 26, 483
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/screens/admin/store_edit_screen.dart", "Dart", 314, 2, 17, 333
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/screens/auth/auth_screen.dart", "Dart", 20, 0, 5, 25
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/screens/auth/login_screen.dart", "Dart", 318, 2, 12, 332
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/screens/auth/signup_screen.dart", "Dart", 364, 6, 24, 394
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/screens/auth/wrapper.dart", "Dart", 64, 0, 4, 68
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/screens/home/accumulative_point_tab_screen.dart", "Dart", 193, 0, 5, 198
"/Users/hoangthinh/Desktop/DoAnMobileProgramming/the_coffee_house/lib/screens/home/add_new_delivery_address.dart", "Dart", 120, 0, 10, 130
